transaction_id,account_id,transaction_type,amount,timestamp,merchant,location
1,190,credit,566.21,2025-04-08 03:20:35,Anderson Group,South Andrea
2,122,credit,3313.7,2024-12-28 15:48:17,"Dawson, Snow and Malone",Hawkinsburgh
3,46,debit,11697.1,2023-08-31 19:18:07,"Hester, Jacobson and West",West Bobbybury
4,64,debit,23717.54,2025-04-23 04:05:59,"Wilson, Graham and Webb",Duketon
5,130,credit,31892.75,2023-06-09 03:43:14,"Velazquez, Gordon and Johnson",Millerview
6,193,credit,261.89,2024-12-21 11:02:08,"Hill, Ponce and Roberts",New Andrew
7,181,debit,46139.33,2024-04-23 19:41:44,"Brown, Compton and Lee",New Patriciaberg
8,292,debit,3893.42,2025-03-02 20:58:01,Simpson-Patel,North Matthewfurt
9,282,credit,18512.31,2025-04-04 07:31:59,"Mata, Martin and Christensen",South Laura
10,29,credit,1988.11,2022-09-01 17:21:17,Hart-Myers,Smithburgh
11,149,debit,649.63,2024-08-28 08:25:09,"Nelson, White and Moore",Travishaven
12,267,credit,4753.87,2025-03-16 22:35:01,Vargas Inc,Patriciamouth
13,296,debit,19584.66,2024-11-10 04:49:03,"Gibson, Zimmerman and Warren",North Jerry
14,11,debit,2495.2,2023-10-09 15:57:24,Phelps-Phillips,Perezville
15,164,credit,1671.85,2025-04-08 20:15:10,Arnold-Jackson,Sheilaberg
16,113,debit,24057.74,2023-10-28 23:05:58,Ferguson LLC,East Derek
17,187,debit,27860.74,2024-08-04 21:42:09,Bowman LLC,Lambertburgh
18,295,debit,126.28,2023-08-01 01:55:29,Nelson Inc,Jonathanville
19,232,credit,12998.81,2025-06-14 18:31:27,"Whitney, Mayo and Clark",Brittanybury
20,227,debit,3699.16,2024-04-07 12:26:29,Smith LLC,Tracystad
21,98,credit,4695.31,2023-10-21 17:21:11,"Jacobs, Wood and Miller",Jimmyland
22,55,debit,6331.87,2024-06-20 05:33:56,"Henson, Baker and Anderson",Cobbstad
23,111,debit,5565.05,2022-11-07 00:50:46,"Phillips, Galloway and Garrett",Shawnton
24,152,debit,7235.52,2025-06-20 09:35:22,Holloway and Sons,South Lisashire
25,246,debit,8731.4,2022-10-17 17:56:04,"Sanford, Thompson and Bonilla",Lake Toni
26,69,debit,6266.02,2023-03-19 05:52:51,"Sandoval, Parrish and Crosby",Robinsonchester
27,289,credit,12091.98,2024-05-29 13:53:44,"Rodriguez, Reese and Reyes",South Megan
28,250,credit,12679.84,2024-04-22 07:42:59,"Scott, Sims and Munoz",Tiffanystad
29,36,debit,5804.6,2024-08-06 22:24:19,Montoya and Sons,West Mariemouth
30,239,credit,1536.91,2024-07-07 03:52:24,Adams-Perkins,New Trevor
